French,English
je,I
de,of
est,is
pas,not
le,the
vous,you
la,the
tu,you
que,that
un,a
il,he
et,and
à,to 
a,has
ne,not
les,the
ce,this
en,in
on,we
ça,that
une,a
ai,have
pour,for
des,from
moi,me
qui,who
nous,we
y,Y
mais,but
me,me
dans,in
du,of
bien,good
elle,she
si,if
tout,everything
plus,more
non,Nope
mon,my
suis,am
te,you
au,to
avec,with
va,go
oui,yes
toi,you
fait,fact
ils,they
as,have
être,be
faire,To do
se,be
comme,as
était,was
sur,on
quoi,what
ici,here
sais,know
lui,him
veux,want
ma,my
là,the
rien,nothing
dit,said
es,es
où,or
votre,your
pourquoi,why
sont,are
cette,this
quand,when
par,by
son,his 
ton,your
peux,can
vais,am going to
dire,say
alors,so
comment,How? 'Or' What
avez,have
bon,Well
ou,Where
très,very
merci,thank you
ont,have
même,same
jamais,never
aussi,also
voir,to see
chose,thing
allez,go
tous,all
deux,of them
ces,those
faut,should
sa,her
êtes,are
été,summer
ta,your
fais,do 
avoir,to have
peut,may
autre,other
m,m
encore,Again
maintenant,now
peu,little
mes,my
vraiment,really
temps,weather
notre,our
toujours,still
vie,life
sans,without
juste,correct
oh,Oh
avait,had
accord,deal
vu,seen
monde,world
quelque,some
fois,time
aller,to go
trop,too much
viens,come
crois,believe
dieu,god
dois,have
homme,male
père,dad
sûr,safe
aux,to the
leur,their
avant,before
étais,tenuous
besoin,need
femme,women
aime,love
personne,nobody
avais,had
chez,at the house of
vrai,true
ans,years
mal,evil
ses,his
parler,speak
vos,your
après,after
mort,dead
veut,wanna
eu,eu
sera,will be
bonne,good
parce,by
mieux,better
petit,small
voilà,here
tes,your 
ca,that
dis,say
beaucoup,a lot
depuis,from
doit,must
vois,see 
mère,mother
vas,go
monsieur,sir
quel,what
déjà,already
fille,daughter
gens,people
donc,so
jour,day
soir,evening
autres,others
ii,ii
toute,all
bonjour,good morning
ll,ll
maison,home
nom,name
argent,money
nos,our
ouais,yeah
pense,think
merde,shit
nuit,night
papa,father
cela,that
salut,Hi
cet,this
avons,have
reste,rest
désolé,sorry
maman,mom
peur,fear
arrive,arrived
seul,only
vite,quick
prendre,to take
regarde,looked
air,air
soit,is
trois,three
quelle,what
passé,past
savoir,to know
plaît,please
choses,things
moins,less
fils,son
entre,Between
bas,low
appelle,call
passe,pass
ah,ah
tête,head
demain,tomorrow
grand,big
arrête,stopped
faites,done
voulez,want
hé,Hey
attends,hold on
hein,eh
enfants,children
assez,enough
raison,reason
aurais,would have
voulais,wanted
elles,they
parle,speak
ok,okay
jours,days
dû,of
moment,moment
heure,hour
puis,then
gars,guys
hommes,men
amour,love
tard,late
toutes,all
sommes,are
tuer,kill
eh,eh
ami,friend
connais,know
petite,small
aider,to help
chance,chance
savez,know
partir,go
sait,know
combien,How
voiture,car
tant,so much
pris,taken
part,go
problème,problem
prends,take
porte,door
coup,kick
serait,would
venir,to come
hui,hui
famille,family
travail,work 
pu,could
seule,only
sens,sense
ni,neither
allons,let's go
revoir,see again
idée,idea
putain,whore
passer,pass
contre,versus
comprends,understand
entendu,heard
trouvé,found
trouver,to find
vieux,old 
vient,come
pendant,during
aurait,would have
quelques,some 
attention,Warning
demande,request
chercher,look for
sous,under
voici,here is
pourrait,could
sang,blood
pouvez,can
sortir,to go out
question,question
histoire,story
amis,friends
venez,come
frère,brother
rester,to stay
fini,finished
ville,city
nouveau,new
truc,thing
tiens,take
mois,month
eux,them
mec,dude
yeux,eyes
laisse,leave alone
super,Great
belle,beautiful
longtemps,long time
police,police
eau,water
